A+,manga and something,かまぼこ彩水,ayami konishi,a,You are Sounds Good Super Super,真逆のタイプ K2 / X
A-,manga and something,かまぼこ彩水,ayami konishi,a,You are Sounds Bad Super Super,似ているタイプ W
AA,Designer,芥川 亜由弥,Ayumi Akutagawa,aa,できる女,真逆のタイプ CC
CC,Art Director,筒井 一隆,Kazutaka Tsutsui,cc,Cute & Cool,総合一位
K2,Co-Founder of Pehu and Nice shop su,ささじまかずま,Kazuma Sasajima,k2,You are Fuckin Elegunt,
X,(^^),中尾 香織,Kaori Nakao,x,Keep Goin Go! Go!,Peace for Future
W,Artist,船川 翔司,Shoji Funakawa,weather,Always think about weather,お天気野郎
